-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
-2.16325e-05 -0.333424 -0.0737817 0.0103442 0 942.478 	6.66712 6.90227 7.69843 9.42853 13.3337 19.4922 25.7577 38.3897 76.4778 200 38.25 19.1956 12.8783 9.74527 6.66601 4.71351 3.84853 3.45047 3.33288	0 0 0 0 
